Unitats;UTM (X);Explotador/s;Denominació comercial;Superfície;Signatura;Inici d'activitat;Localitat;Municipi;Subgrup;Excepcions ratio turístic;Memoria descriptiva;Categoria;Hotel de ciutat;Places;Grup;Estat;UTM(Y);Direcció;longitude;latitude
10;475931.48479999974;Hostal Sóller SL (B57948200);Hostel Sóller - Ca ses Madrines;0;ABT/1;14/06/2023;Sóller;SÓLLER;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;60;Alberg;Alta;4401870.867000001;Carrer DE SANTA TERESA, 27. 07100 SÓLLER, Mallorca;2.718989542901724;39.76642419243253
9;498470.68500000006;PORTALS I FINESTRES S.L. (B57017550);EMBAT;482;ABT/2;01/10/2024;Montuïri;MONTUÏRI;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;38;Alberg;Alta;4379837.114999999;Carrer RECTOR ESCARRER, 4. 07230 MONTUÏRI, Mallorca;2.982195505882316;39.568231827959735
19;;RESIDENCIA ESTUDIANTES MAYOL SL (B57694143);RESIDENCIA MAYOL;430;ABT/3;29/10/2024;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;38;Alberg;Alta;;Carrer Molí del Garrover, 5. 07010 PALMA, Mallorca;;
12;;BEACH CLUB DIQUE DEL OESTE, SL (B57839797);WE STREET HOSTEL;527;ABT/4;18/03/2025;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;98;Alberg;Alta;;Carrer AMILCAR, 26. 07600 PALMA, Mallorca;;
21;;OLIVER MATEU PROMOCIONES Y PROYECTOS, SL (B07876865);BOC BEACH;1640;ABT/5;20/03/2025;Can Pastilla;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;147;Alberg;Alta;;Carrer SINGLADURA, 2. 07610 Can Pastilla, PALMA, Mallorca;;
37;;OLIVER MATEU PROMOCIONES Y PROYECTOS, SL (B07876865);BOC PALMA;1510;ABT/6;20/03/2025;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;150;Alberg;Alta;;Carrer ARXIDUC LLUÍS SALVADOR, 46. 07004 PALMA, Mallorca;;
15;;BEACH CLUB DIQUE DEL OESTE, SL (B57839797);WE HOSTEL PALMA;698;ABT/7;09/04/2025;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, Albergs;;;;76;Alberg;Alta;;Carrer GERMANS SCHEMBRI, 1. 07014 PALMA, Mallorca;;
6;463196.156274;RENTA MEDITERRANEA SL (B07911803);SON FERRA;;AG/1;30/06/1992;Esporles;ESPORLES;Allotjaments;;;;;11;Agroturisme;Alta;4388008.79063;ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca;2.571076234225061;39.641071502839985
17;504229.32;CAN VERDAL SL (B57953127);SON SIURANA;;AG/100;09/05/2001;Alcúdia;ALCÚDIA;Allotjaments;;;;;41;Agroturisme;Alta;4407189.07;C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca;3.0494137059305184;39.81467154150796
8;491252.027815;SECTOR RURAL, SL (B57180739);CAN RAIÓ;;AG/102;28/05/2001;Sencelles;SENCELLES;Allotjaments;;;;;16;Agroturisme;Alta;4387853.68653;Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca;2.898049120030565;39.64042112234811
6;473748.08;FINCA SA MANIGA SL (B07966278);SA MANIGA;;AG/103;11/06/2001;Bunyola;BUNYOLA;Allotjaments;;;;;12;Agroturisme;Alta;4395039.76;AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca;2.6937701570782906;39.704810814498515
11;;SUMIVINS 2013, SL (B57825275);S´HORT DE SA BAGURA;;AG/104;29/06/2001;Sant Llorenç Del Cardassar;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;;;28;Agroturisme;Alta;;Polígon 8 Parcel·la 359. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;
5;500356.253308;JOSE OLLERS ALCOVER;SON LLADO;183855;AG/106;04/09/2001;Campos;CAMPOS;Allotjaments;;;;;20;Agroturisme;Alta;4358815.25526;Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca;3.0041363176381366;39.378813075060876
5;;AGROTURISME PEROLA 1996, SL (B19370808);SA PLETA PEROLA;;AG/107;17/09/2001;Llucmajor;LLUCMAJOR;Allotjaments;;;;;10;Agroturisme;Alta;;Polígon 17 Parcel·la 236. 07620 LLUCMAJOR, Mallorca;;
15;473020.78;HOTEL CA´S XORC SL (B07916018);CA´S XORC;;AG/108;24/10/2001;Sóller;SÓLLER;Allotjaments;;;4 estrelles;;30;Agroturisme;Alta;4402563.18;Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca;2.684977817233504;39.77257469860693
8;497964.085247;SA ROTA DEN PALERM SL (B07983208);SA ROTA DE´N PALERM;297031;AG/109;28/02/2002;Lloret De Vistalegre;LLORET DE VISTALEGRE;Allotjaments;;;;;22;Agroturisme;Alta;4385460.18039;Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DE´N PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca;2.976280330036993;39.61889704079455
11;492741.97;MORGATUR SL (B07856446);BINICOMPRAT;;AG/110;15/03/2002;Algaida;ALGAIDA;Allotjaments;;;;;24;Agroturisme;Alta;4379064.26;Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca;2.915509515831279;39.56123868559885
15;479384.08;AGROTURISMO SON PALOU ORIENT SL (B57050510);SON PALOU;;AG/111;17/04/2002;Orient;BUNYOLA;Allotjaments;;;;;30;Agroturisme;Alta;4398307.21;Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca;2.75941145966054;39.734405838139175
15;495488.69;TORRE D´ES COLOMS SL (B07854243);MONNABER VELL;;AG/112;02/05/2002;Campanet;CAMPANET;Allotjaments;;;;;30;Agroturisme;Alta;4404587.32;TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca;2.9473095305139276;39.7912280478261
4;532939.55;PAPA PIZZA JANIN, CB (E57256513);CASES DE SON DUC;;AG/113;17/06/2002;Artà;ARTÀ;Allotjaments;;;;;8;Agroturisme;Alta;4391884.62;Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca;3.3840823053256557;39.67615079837701
8;498548.53;ANTONIO RIBAS MOLL;ES RAFAL;21000;AG/114;04/07/2002;Montuïri;MONTUÏRI;Allotjaments;;;;;18;Agroturisme;Alta;4381887.12;Carretera LLORET, KM 1´5, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca;2.983097302136481;39.58670345248345
12;494796.02;JOSE LUIS SANCHEZ TELLEZ;SON ESTRANY;;AG/115;04/07/2002;Llucmajor;LLUCMAJOR;Allotjaments;;;;;24;Agroturisme;Alta;4368590.14;19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca;2.9395025425924017;39.46687597955586
10;465967.914209;VISTAMAR DE VALLDEMOSSA SL (B07537392);SES CASES DE CAS GARRIGUER;;AG/116;30/07/2002;Valldemossa;VALLDEMOSSA;Allotjaments;;;;;20;Agroturisme;Alta;4395524.19381;VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca;2.6029909680381;39.708900766616644
7;501820.03446;PARADIS DES PLA SL (B57908428);SA CASA ROTJA;;AG/117;01/07/2002;Sineu;SINEU;Allotjaments;;;;;24;Agroturisme;Alta;4388507.22653;SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca;3.021212914433994;39.646352554053884
6;474848.879044;CAN POMA SOLLER SL (B07844384);CAN POMA;;AG/118;03/09/2002;Sóller;SÓLLER;Allotjaments;;;;;12;Agroturisme;Alta;4402819.2752;SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca;2.706313490267097;39.77493809961247
12;513259.087971;PROFITUR INVERSION SL (B07774003);SANTA EULALIA;;AG/119;13/11/2002;Santa Margalida;SANTA MARGALIDA;Allotjaments;;;;;24;Agroturisme;Alta;4396805.83895;Carretera SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca;3.1547041808455867;39.72102437160701
10;478700.805311;MIGUEL OLIVER Y PASTOR SL (B07709132);BALITX D´AVALL CAN GORDO;;AG/12;27/05/1993;Fornalutx;FORNALUTX;Allotjaments;;;;;19;Agroturisme;Alta;4405176.22482;SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca;2.751215047195721;39.79627943684733
7;512798.006841;SIGRID SULZER;CAN BOTA;;AG/120;25/11/2002;Felanitx;FELANITX;Allotjaments;;;;;14;Agroturisme;Alta;4368947.82471;DE SON AMARET, 128. 07200 FELANITX, Mallorca;3.148786423312522;39.470019500311444
9;513974.01;ANTONIA FORTEZA GARI;SON MARIMON;;AG/121;25/02/2003;Santanyí;SANTANYÍ;Allotjaments;;;;;18;Agroturisme;Alta;4357646.43;7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca;3.1622220785229866;39.36816805644133
12;467424.217887;HOTEL VALLDEMOSSA, SLU (B56247729);VALLDEMOSSA;;AG/122;24/04/2003;Valldemossa;VALLDEMOSSA;Allotjaments;;;;;24;Agroturisme;Alta;4394961.29144;Carretera VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca;2.620007272904996;39.70388582692958
6;462483.63;CAN LLOETA, SL (B57597767);SON BURGUET;;AG/123;05/05/2003;Puigpunyent;PUIGPUNYENT;Allotjaments;;;;;12;Agroturisme;Alta;4385138.06;PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca;2.5629352240522714;39.615174918508735
9;512021.081924;HOMERTI, SLU (B57725764);SA FRANQUESA VELLA;;AG/124;06/05/2003;Vilafranca De Bonany;VILAFRANCA DE BONANY;Allotjaments;;;;;20;Agroturisme;Alta;4377118.34612;Carretera PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca;3.139901666421035;39.543651547212576
10;491826.536964;FINCA MIRABONA, SL (B02980563);CAN BENEÏT;;AG/125;09/05/2003;Caimari;SELVA;Allotjaments;;;5 estrelles;;20;Agroturisme;Alta;4402503.82995;Polígon 13 PARCEL·LA 70. 07313 Caimari, SELVA, Mallorca;2.9045628867340993;39.77242822832715
7;480456.262624;TORRENT FALS SL UNIPERSONAL (B57064297);ES TORRENT FALS;;AG/126;15/05/2003;Santa Maria Del Camí;SANTA MARIA DEL CAMÍ;Allotjaments;;;;;14;Agroturisme;Alta;4390503.02734;POLÍG. 4, PARC. 255, 222, S/N. 07320 SANTA MARIA DEL CAMÍ, Mallorca;2.772155114912518;39.664113848059394
12;472404.63;SA GUBIA BLANCA SL (B57027062);S´ALQUERIA BLANCA;;AG/127;21/05/2003;Bunyola;BUNYOLA;Allotjaments;;;;;24;Agroturisme;Alta;4393616.43;PALMA-SOLLER, KM.13,60, S/N. 07110 BUNYOLA, Mallorca;2.6781585498474243;39.691944037819916
35;493098.5;MHR HOTELS, SL (B06845960);SON SAMPOLI;;AG/128;10/06/2003;Llucmajor;LLUCMAJOR;Allotjaments;;;;;84;Agroturisme;Alta;4372548.03;Polígon 16, PARCEL.LA 340. 07620 LLUCMAJOR, Mallorca;2.919727510267872;39.502526988611116
11;501259.425293;AGRICOLA COLL DE DAMA CB (E57967242);SES ARENES;649428;AG/129;14/07/2003;Campos;CAMPOS;Allotjaments;;;;;27;Agroturisme;Alta;4361925.82537;Carretera CAMPOS - COLONIA DE SANT JORDI, KM., 11. 07630 CAMPOS, Mallorca;3.0146285455342032;39.40684079208658
12;501541.72;ALFURINET, SL (B57888166);SES ROTES VELLES;;AG/130;14/07/2003;Campos;CAMPOS;Allotjaments;;;;;24;Agroturisme;Alta;4355220.38;POLÍGON 16, PARCEL.LA 199, S/N. 07630 CAMPOS, Mallorca;3.0178920402704996;39.34641908987649
7;475501.21;ANTONIA MARIA GARAU DARDER;CA´S CURIAL;;AG/131;12/09/2003;Sóller;SÓLLER;Allotjaments;;;;;14;Agroturisme;Alta;4402477.16;VILLALONGA, 23. 07100 SÓLLER, Mallorca;2.713943346800252;39.771874651467606
7;518096.957457;FINCA CAN BESSOL, SL (B57314056);CAN BESSOL;21000;AG/132;04/11/2003;Horta (L´);FELANITX;Allotjaments;;;;;18;Agroturisme;Alta;4362029.39972;SISENA VOLTA- FINCA  CAN BESSOL, 287. -, -;3.210202912287937;39.40758509753114
11;499793.28;AGROTURISME SON PONS SL (B57113888);SON PONS;;AG/133;10/02/2004;Búger;BÚGER;Allotjaments;;;;;22;Agroturisme;Alta;4401246.73;BUGER-SA POBLA KM 1,2  (4, PARCELA 77), S/N. 07311 BÚGER, Mallorca;2.9975866361261847;39.76114076159757
5;454037.520624;FINCA SON TRIAS SL (B07778228);SON TRIAS;;AG/134;22/03/2004;Calvià;CALVIÀ;Allotjaments;;;;;10;Agroturisme;Alta;4380686.75007;CAPDELLA - PAGUERA KM. 10, S/N. 07184 CALVIÀ, Mallorca;2.4648506257906044;39.57465661712949
7;504793.630337;ANDRES ALCOVER ANDRE;SES BITL·LES;;AG/135;16/06/2004;Sant Llorenç Del Cardassar;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;;;14;Agroturisme;Alta;4372609.56521;SON MESQUIDA.KM 4.5POLIGONO 7, PARCELA 522, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;3.0557559648457224;39.50309579796898
22;493131.1;FINCA BINIBONA PARC NATURAL (B07980295);BINIBONA PARC NATURAL;0;AG/136;23/09/2004;Selva;SELVA;Allotjaments;;;;;49;Agroturisme;Alta;4404050.2;POLIGON 13, PARCEL·LA 164 Y POLIGON 15 PARCEL·LA 25, S/N. 07314 SELVA, Mallorca;2.919779373914815;39.78637276156256
6;520228.107134;TERESA DURAN FONS;SA VALL DE SON MACIA;;AG/137;28/10/2004;Son Macià;MANACOR;Allotjaments;;;;;14;Agroturisme;Alta;4378375.28807;Polígon 303, 23 - PARCEL.LA. 07509 Son Macià, MANACOR, Mallorca;3.2354529145639446;39.554822930954884
11;505734.74;LLENAIRE FINCA AGROTURISME SL (B57027609);LLENAIRE;;AG/138;12/11/2004;Pollença;POLLENÇA;Allotjaments;;;;;22;Agroturisme;Alta;4415490.72;10, PARCEL·LA, 461. 07460 POLLENÇA, Mallorca;3.067075191882532;39.889460811675995
8;467168.77;SA SIMENTERA DE CANET (V01671189);RONDAIA;;AG/139;26/11/2004;Esporles;ESPORLES;Allotjaments;;;;;15;Agroturisme;Alta;4390157.64;4, PARCEL.LES 39 I 73, S/N. 07190 ESPORLES, Mallorca;2.617266568461904;39.660594675010884
20;535923.5;ASESORIA LABORAL Y GESTION EMPRESA SL (B07585532);CASES DE SON BARBASSA;;AG/140;26/11/2004;Capdepera;CAPDEPERA;Allotjaments;;;;;40;Agroturisme;Alta;4397068.23;CALA MESQUIDA/ CAMI DE SON BARBASSA POL- 4 PARCEL.LA 180 I 181, S/N. 07580 CAPDEPERA, Mallorca;3.4191574129711775;39.72273499914346
9;502644.478605;SON DAGUETA SL;CAN FELIU;;AG/141;26/11/2004;Porreres;PORRERES;Allotjaments;;;;;17;Agroturisme;Alta;4373072.21326;SON DAGUETA POLÍGON 4, PARCEL·LES 850 I 906, S/N. 07260 PORRERES, Mallorca;3.0307604630394986;39.50727382181772
4;498032.4187;SON SALA, SC (J16577058);SON SALA;;AG/142;14/12/2004;Campos;CAMPOS;Allotjaments;;;;;8;Agroturisme;Alta;4366221.29598;Carretera LLUCMAJOR-CAMPOS, KM 33.POLÍGONO 5, PARC. 664,665, 486, S/N. 07630 CAMPOS, Mallorca;2.977133396699502;39.44554464427379
8;506821.12;JOSE LUIS FORTEZA ARTIGUES;CAN RITO;;AG/143;04/01/2005;Felanitx;FELANITX;Allotjaments;;;;;16;Agroturisme;Alta;4368269.98;POLÍGONO, Nº 48, PARCELA 77, S/N. 07200 FELANITX, Mallorca;3.079293790801929;39.463979838219664
9;525152.021182;AGROTURISME SES CASES NOVES SL (B57066615);SES CASES NOVES;;AG/144;30/03/2005;Sant Llorenç Del Cardassar;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;;;20;Agroturisme;Alta;4385525.08567;SANT LLORENÇ-ARTA, KM 58.3 (6, PARCELAS 457 Y 27), S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;3.293037329157212;39.61911471789642
9;527640.99;SON CARDAIX, SL (B22635528);SON CARDAIX;;AG/145;30/03/2005;Artà;ARTÀ;Allotjaments;;;;;18;Agroturisme;Alta;4389860.27;10, PARCEL.LA 28, S/N. 07570 ARTÀ, Mallorca;3.3222162176547934;39.65809893569304
5;514718.91;MARGALIDA GALMES MEDINA;SES CASES D´ES RAFALET;;AG/146;25/04/2005;Manacor;MANACOR;Allotjaments;;;;;10;Agroturisme;Alta;4383671.22;27  PARCEL·LA, 98. 07500 MANACOR, Mallorca;3.1714443166892083;39.60265371062525
7;513259.087971;TANCA LLARGA, SL (B57509630);SA BOLEDA;;AG/147;08/07/2005;Santa Margalida;SANTA MARGALIDA;Allotjaments;;;;;14;Agroturisme;Alta;4396805.83895;Polígon 12, PARCEL·LA 150. 07450 SANTA MARGALIDA, Mallorca;3.1547041808455867;39.72102437160701
5;532934.82;NA SETCENTES, SL (B07960262);NA SET CENTES;;AG/148;30/11/2005;Artà;ARTÀ;Allotjaments;;;;;10;Agroturisme;Alta;4392537.45;ARTÀ-CANYAMEL (PARCEL·LA 142, POLÍGON 15), S/N. 07570 ARTÀ, Mallorca;3.3840597322567088;39.682033044332684
12;479383.02;SON CAULELLES NOU S.A. (A07304835);S´HORT DE SON CAULELLES;;AG/149;31/01/2006;Cabaneta (La);MARRATXÍ;Allotjaments;;;;;24;Agroturisme;Alta;4385657.09;CAMI DES MIRADOR SENSE NUMERO, S/N. 07141 Cabaneta (La), MARRATXÍ, Mallorca;2.759794240717958;39.62042537281007
5;474848.879044;CAN COLL WINE & MORE, SL (B44541373);CA´N COLL;;AG/15;02/09/1993;Sóller;SÓLLER;Allotjaments;;;;;9;Agroturisme;Alta;4402819.2752;Camí DE CA´N COLL, 1. 07100 SÓLLER, Mallorca;2.706313490267097;39.77493809961247
8;469187.388403;SUSANA GOMEZ QUINTANA;CA NA SUSI;;AG/158;17/03/2006;Esgleieta (L´);ESPORLES;Allotjaments;;;;;15;Agroturisme;Alta;4389500.70867;PALMA-VALLDEMOSSA KM 10,9, S/N. 07190 Esgleieta (L´), ESPORLES, Mallorca;2.640829008875654;39.65475077981512
10;473503.41;SINEU INVERSIONES S.L. (B07594609);ALFABIA;;AG/159;20/04/2006;Bunyola;BUNYOLA;Allotjaments;;;;;24;Agroturisme;Alta;4396534.38;POLÍGON 8, PARCEL·LA 7, S/N. 07110 BUNYOLA, Mallorca;2.690856005441433;39.71826995926089
14;502158.848178;ERHARD & STERN ESPAÑA, SL (B16634602);ES PALMER;;AG/16;02/09/1993;Campos;CAMPOS;Allotjaments;;;;;28;Agroturisme;Alta;4.358084495E9;Carretera CAMPOS-COLONIA DE SANT JORDI, KM. 6,4, PARCEL·LA 574, POLÍGON 18, S/N. 07630 CAMPOS, Mallorca;3.0196578149579705;-9.30181304020136
11;516746.52;NA MARTINA SL (B57850968);NA MARTINA;;AG/160;20/04/2006;Portopetro;SANTANYÍ;Allotjaments;;;;;22;Agroturisme;Alta;4356586.85;POLIGON 7, PARCEL·LA 1262, HABITATGE 401 CARRETERA PORTOPETRO - MONDRAGÓ, S/N. 07650 Portopetro, SANTANYÍ, Mallorca;3.1943810838182407;39.35857113788539
9;467424.217887;SON MIRABO SL (B57146979);MIRABÓ DE VALLDEMOSSA;;AG/161;01/06/2006;Valldemossa;VALLDEMOSSA;Allotjaments;;;;;18;Agroturisme;Alta;4394961.29144;VALLDEMOSSA, KM. 15,970, S/N. 07170 VALLDEMOSSA, Mallorca;2.620007272904996;39.70388582692958
3;490529.15;MARIA MONSERRAT SITJAR CIRERA;S´ALBENYETA;;AG/162;04/07/2006;Llucmajor;LLUCMAJOR;Allotjaments;;;;;6;Agroturisme;Alta;4367390.91;POLIGON 47-PARCEL.LA 274, S/N. 07620 LLUCMAJOR, Mallorca;2.889916293656244;39.45603378568655
4;455086.077688;FUNDACION S´OLIVAR DE ESTELLENCHS (G07599343);SANTUARI DE S´OLIVAR;;AG/163;01/09/2006;Estellencs;ESTELLENCS;Allotjaments;;;;;10;Agroturisme;Alta;4388914.03944;FINCA S´OLIVAR. CARRETERA C-710, KM. 93,5, S/N. 07192 ESTELLENCS, Mallorca;2.476500655390086;39.64884032707174
8;500173.39;PROMA MALLORCA, SL (B16665523);ALMOND VALLEY;;AG/164;13/11/2006;Pollença;POLLENÇA;Allotjaments;;;;;16;Agroturisme;Alta;4413551.56;Predi CA´N GUILLOT - POLÍGON 7, PARCEL.LA 93, S/N. 07460 POLLENÇA, Mallorca;3.002027506049367;39.872008380057494
14;505156.97;RURAL BARCELO SL (B16514515);SON BARCELO MAS;21000;AG/165;15/11/2006;Campos;CAMPOS;Allotjaments;;;;;27;Agroturisme;Alta;4362342.21;POLÍGON. 13, PARCEL·LA 494, 598 I 599, CTRA SANTANYÍ, KM 42, S/N. 07630 CAMPOS, Mallorca;3.059902715616937;39.41057821662532
7;530731.42;PEDRO MORELL MORAGUES;SON NOT;;AG/166;27/11/2006;Artà;ARTÀ;Allotjaments;;;;;14;Agroturisme;Alta;4396535.04;POLIGON 19 PARCEL·LA 79, S/N. 07570 ARTÀ, Mallorca;3.35855226298263;39.71813383490156
5;508108.074464;AGROTURISMO ROQUETA SL (B57093205);ROQUETA;;AG/167;27/11/2006;Maria De La Salut;MARIA DE LA SALUT;Allotjaments;;;;;12;Agroturisme;Alta;4391630.18132;PREDIO ROQUETA, S/N. 07519 MARIA DE LA SALUT, Mallorca;3.0945397212864143;39.674454870756925
2;528173.255827;ANDRES VIVES ANDREU;SON CAMINALS;;AG/168;21/03/2007;Artà;ARTÀ;Allotjaments;;;;;4;Agroturisme;Alta;4396129.94822;PARCELA 233-A, POLIGONO 21, S/N. 07570 ARTÀ, Mallorca;3.328688587988553;39.71457225516202
6;496320.47;;VARITX PARADÍS;;AG/169;12/03/2007;Pollença;POLLENÇA;Allotjaments;;;;;12;Agroturisme;Alta;4412598.95;POLÍGON 7, PARCEL·LA 189, S/N. 07460 POLLENÇA, Mallorca;2.9569794178690816;39.86341739536645
6;516230.85;MARGARITA DURAN SITGES;ES PLA DE LLODRA;;AG/170;24/05/2007;Manacor;MANACOR;Allotjaments;;;;;12;Agroturisme;Alta;4375864.24;POLÍGON 24, PARCEL·LA 776 CTRA. MANACOR -FELANITX KM.5, S/N. 07500 MANACOR, Mallorca;3.188864213537332;39.532282163848954
6;520903.11;ANDRES BINIMELIS GARCIAS;CAN TORT;;AG/172;18/06/2007;Felanitx;FELANITX;Allotjaments;;;;;12;Agroturisme;Alta;4366542.3;POLÍGON 30, PARCEL·LES 19, 20, 53 I 54, S/N. 07200 FELANITX, Mallorca;3.242938323681942;39.448185636358666
8;492046.13;HORT DE CAS MISSER, SL (B16663999);S´HORT DE CAS MISSÉ;;AG/174;07/12/2007;Selva;SELVA;Allotjaments;;;;;16;Agroturisme;Alta;4400563.68;POLÍGON 17, PARCEL·LA 51, S/N. 07313 SELVA, Mallorca;2.9071504343835763;39.754949248244955
9;493854.28;JUTTAS-WORLD, SL (B57629586);SON OLIVE;;AG/175;07/12/2007;Selva;SELVA;Allotjaments;;;;;18;Agroturisme;Alta;4399892.99;Polígon  9, PARCELA 175. 07313 SELVA, Mallorca;2.928264138495396;39.748921173706364
1;507468.86;CARMEN CALDENTEY PASCUAL;DEULOSAL;;AG/176;14/01/2008;Maria De La Salut;MARIA DE LA SALUT;Allotjaments;;;;;4;Agroturisme;Alta;4390681.62;PARCEL·LA 196,POLÍGON. 4, S/N. 07519 MARIA DE LA SALUT, Mallorca;3.0870757925456176;39.665913870760726
12;502644.478605;FRANCISCA BONET SUÑER;SON ROIG;;AG/177;02/04/2008;Porreres;PORRERES;Allotjaments;;;;;24;Agroturisme;Alta;4373072.21326;POLIGON 5, PARCEL·LES 201, 202, 203, 206, 207, 208 I 210, S/N. 07260 PORRERES, Mallorca;3.0307604630394986;39.50727382181772
11;465364.208294;MORO & MALUS S.L.U (B72915176);CAN TORNA;;AG/178;09/04/2008;Esporles;ESPORLES;Allotjaments;;;;;22;Agroturisme;Alta;4389906.72009;ESPORLES, KM 4,300 (FINCA SON QUINT), S/N. 07190 ESPORLES, Mallorca;2.5962433389787765;39.65826263301715
6;508018.91;MATEO MARTI PONS;SON TORRAT;;AG/179;12/05/2008;Petra;PETRA;Allotjaments;;;;;12;Agroturisme;Alta;4382663.17;V-PARCELA 357-359, S/N. 07520 PETRA, Mallorca;3.093391359899458;39.593659704042935
6;491627.167462;EXPLOTACIONES AGROPECUARIAS SON SAMA SL (B07167653);SON SAMA;;AG/18;14/10/1993;Llucmajor;LLUCMAJOR;Allotjaments;;;;;14;Agroturisme;Alta;4371026.43784;Carretera LLUCMAJOR- PORRERES,KM.3´5, S/N. 07620 LLUCMAJOR, Mallorca;2.902633347378481;39.488803493526525
5;487870.983287;HERMANOS RIERA JAUME CB (E07497613);FILICUMIS;;AG/180;28/08/2008;Lloseta;LLOSETA;Allotjaments;;;;;17;Agroturisme;Alta;4396718.86237;Polígon 1, PARCEL·LA 3. 07360 LLOSETA, Mallorca;2.858482809251216;39.720257514947725
8;513259.087971;AGROMISTICA SA CAPELLA, SL (B57423394);MANSION SA CAPELLA;;AG/181;03/12/2008;Santa Margalida;SANTA MARGALIDA;Allotjaments;;;;;22;Agroturisme;Alta;4396805.83895;POLIGON 5, PARCEL·LA 75,, S/N. 07450 SANTA MARGALIDA, Mallorca;3.1547041808455867;39.72102437160701
20;524821.33;HOTEL LLAUT PALACE SL (B57953366);AGROTURISME SON PENYA;;AG/182;03/12/2008;Sant Llorenç Del Cardassar;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;;;40;Agroturisme;Alta;4382795.48;POLIGON 3, PARCEL·LA 307, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;3.2890823179849207;39.59452980504671
10;531396.63;SASCHA 1999 S.L (B57037723);EL ENCINAR;;AG/183;18/02/2009;Son Servera;SON SERVERA;Allotjaments;;;;;20;Agroturisme;Alta;4389843.59;PARCEL·LA 185, POLÍGON 17, S/N. 07550 SON SERVERA, Mallorca;3.365994837395708;39.65781894293452
10;500149.65;AMAPOLA 2021, SL (B16780603);AMAPOLA;;AG/184;29/04/2009;Campos;CAMPOS;Allotjaments;;;;;20;Agroturisme;Alta;4362059.34;POLÍGON 19, PARCEL·LA 548, S/N. CAMPOS, Mallorca;3.00173825275767;39.40804476241848
25;495387.82;UNICO MONTUIRI,SL (B67223545);FINCA SERENA MALLORCA;0;AG/185;29/04/2009;Montuïri;MONTUÏRI;Allotjaments;;;5 estrelles;;50;Agroturisme;Alta;4382152.32;Polígon 8, PARCELA 1. CTRA PINA-MONTUIRI, KM 3. 07230 MONTUÏRI, Mallorca;2.9462882812344273;39.58908183816069
